score,content_clean,sentiment_predicted
5,nice,positif
2,duh baut lepas maksud,negatif
1,beli saham skrg bsa terang skrup lepas,negatif
1,kirim cuman keren,negatif
5,aman aman,positif
5,adain bank digital ganti akun bank baru ngak karna nama bank salah,negatif
5,bagus apk stlh baru buka bantu,negatif
1,udah download udah verifikasi gilir wallet bank jago rekening nama pakai pakai hati hati,negatif
4,harap depan apk fitur via dana transaksi trending mudah,netral
5,kak beli crypto,netral
4,bagus cair nunggu minggu,negatif
5,bagus bgt nyoba reksadana biar was was rasa bgt return bagus percaya,positif
5,bantu alokasi instrumen,positif
1,selamat pagi rdn wallet jago baru tanggal juli jual reksadana saham baru rdn wallet jago mohon bantu,negatif
5,mudah transaksi,positif
5,kemarin kendala email chat customer service fast respon alhasil kendala atas,negatif
5,kendala,netral
5,guna tabung jangka,positif
5,pakai code bibitsaga daftar dapat cashback beli reksa interface bagus fitur bantu mula,positif
5,bagus,positif
3,masuk stuck logo,netral
5,terima kasih tarik opsi tabung digital,netral
5,baik mula inti dlm apa hrus sabar konsisten,positif
1,scam cair,negatif
5,mantap,positif
1,monyet narik uang udah masuk bank,negatif
5,turut segi fiturnya mudah paham oke bosan utk liat aman sih,positif
3,min ktp min,netral
3,guna tambah fitur rdn jago syariah,netral
1,gak kerjasama bank jago manajemen kelola buruk bank jago verivikasi nomor whatsapp sms semu orang nomor whatsapp nomor telepon kecewa banget manajemen sistem,negatif
5,yey,positif
1,download hapus akun sulit belit belit urus suruh nunggu suruh cek,negatif
1,jual jangka cair,negatif
4,sayabga buka,negatif
1,tari tap masuk rekening,negatif
5,praktis deposit blom masuk rdn lambat respon mnunggu antri dibenahin walopun nominal tahap uji deposit,negatif
5,good,positif
5,moga udah error kyk kmrin mkasih,negatif
5,nice,positif
5,keren,positif
5,mantap,positif
5,mantap,positif
5,cocok mula,positif
5,download susah banget operasi mudah bimbing quiz bener kali coba dunia investasi loohh ngga rumit bayangin wajib coba pakai kode referall lipatgandakanlaba biar dapet cashback gaess,positif
5,good,positif
5,bagus tabung,positif
5,moga kustodian bri tunggu,netral
5,bagus cair percepet donk,netral
5,mula return,positif
5,mudah,positif
5,apl oke,positif
5,milik kartu bank atm bayar tiga ovo dana gopay,netral
1,uang tujuankan rekening masuk notifikasi hasil proses,negatif
5,bagus mula,positif
4,app mula andal,positif
1,susah login,negatif
5,suka apk,positif
4,hasil,netral
5,bagus sih kak adakan bimbing mula buka akun plus lumayan kerja bank jago serta gopay,netral
5,awesome,positif
1,coba daftar virifikasi sulit,netral
1,proses verifikasi ruwet dibandingin saham lengkap obligasi dibandingin ajaib bagus ajaib proses tari,negatif
5,bagus ajar,positif
5,mudah erti mula,positif
5,mantap aplikasi coba langsung janji,positif
5,rekomendasi investor mula,positif
5,mula cocok banget,positif
4,review alam main apk reksa daftar sulit tara apk uang sistem bank rdn udh bank jago gak ribet proses beli reksadana program tabung via advisor hari muncul untung rugi coba trading saham hari gantung produk proses jual beli selesai menit menit coba apk,negatif
5,baik,positif
5,rekomendasi,positif
5,bagus ivestasi,netral
5,tabung rutin tambah minggu beli reksa dana pasar uang harap wadah aman tabung uang masa baik utk beli gratis pakai bank jago auto debit terima kasih moga amanah,positif
5,bagus,positif
1,proses cair banget bikin nunggu kecewa susah dana darurat,negatif
5,oke,positif
5,investasi bagus,positif
5,the best app for,positif
5,bagus mudah platform,positif
5,thank you tambah uang,positif
5,mantap,positif
4,coba moga data aman,positif
5,ayo,positif
1,asa daftar nih apk dah banget gagal mulu yah kali suruh baik informasi pribadi kecewa deh,negatif
5,bagus,positif
5,good,positif
1,masuk,negatif
5,nice,positif
5,mantap,positif
2,bijak meterai utk transaksi diberitahukan new users system transaksi tau beli reksadana kecewa banget sistem sbg new user,negatif
5,apk,negatif
5,cuan,positif
5,mantab,positif
5,mula apa,positif
5,the best okkee,positif
5,oke,positif
5,bagus,positif
4,saran tambah auto sell and buy stockbit beli jual saham,negatif
5,bantu konsisten tabung terima kasih,positif
5,percaya,positif
1,dana beli jual min,netral
5,mudah paham,positif
5,rekomende nabung semangat,positif
5,mantap,positif
5,good,positif
5,good,positif
5,baik,positif
5,mantep nih reksadana,positif
4,oke,positif
5,mantap,positif
5,bagus,positif
2,bungane nek utang,negatif
2,moga pilih rdn bank rdn serasa sulit pakai jago konvensional bca konven udah lanjur pakai jago syariah bca konvensional maaf hapus,negatif
5,mantab pokok cuan,positif
1,tdk instan tuk withdraw wallet saldo trading wallet saldo rdn butuh hari minggu tunggu withdraw,negatif
5,top markotop,positif
5,cocok investor mula fitur lengkap transaksi mudah edukasi aman anak muda investor suka,positif
5,coba smoga manfaat lumayan pilih,positif
2,bagus cocok investor mula ajar reksadana saham pakai tapiiiii sayang banget plus gak sedia rdn jago syariah harap plus pakai jago syariah nasabah bank syariah gak daftar bank konvensional ubah bintang daftar rdn jago syariah thank,netral
1,bodoh topup dpet cashback dpet tipu sampe nih nunggunya,negatif
5,mantap moga majuu,positif
5,kembang rakyat indonesia,positif
1,banget cair rdnnya withdrawal,negatif
5,mudah,positif
2,buka eror,negatif
5,selau update baru mudah,netral
1,buka bgt stuck logo,negatif
2,cair dana cepet beda kayak saing belah dah masuk rekening,negatif
5,tingkat,positif
1,akun bank udah verifikasi wajah kali kali susah banget uninstal ribet,negatif
5,bagus duit nganggur bank ayo gabung pakai kode reksadanasyariah dapat bonus deposit bukti,positif
5,bagus kak mantab pokok,positif
1,buka,negatif
5,nice,positif
5,keren,positif
5,bagus jangka,positif
5,moga amanah biar pny bnyk duit akutuh,netral
2,susah buka klu pakai jaring wifi jaring stabil buka aplikasi,negatif
5,aplikasi bagus mohon developer depan ubah tambah daftar temen investasi kendala rekening bank pribadi trimakasih,netral
5,simple,positif
5,reksadana mudah paham,positif
5,simpel mudah cocok mula,positif
5,kesan,netral
3,platform bagus aplikasi masuk stuck logo withdraw gak,netral
3,lumayan oke,netral
5,tingkat proteksi data nasabah aman data nasabah hacker,negatif
5,mantap,positif
4,bintang,netral
1,apk gajelas susah banget ganti biodata,negatif
5,udah nabung,netral
5,proses cepat,netral
5,apk bantu mula ngerti pingin thanks kak developer,positif
5,baguusss,negatif
4,top,positif
5,mantap,positif
2,daftar acc kaya minjol,netral
5,yahhh,netral
5,rekomendasi,positif
5,kurang aplikasi gak real time kerja update serba slow gak rekomen buru bagus nyimpan uang,negatif
5,excellen,negatif
5,aplikasi bagus cocok mula simpel trima kasih,positif
5,bagus bantu utk mula pro,positif
5,bgus,positif
5,mantap,positif
5,mudah guna,positif
5,apk bagus,positif
1,sedia bank,negatif
5,jos,positif
1,suka jual aset banget nyata kaya stop pakai,negatif
5,kode referal mbatetik,positif
1,tari lot masak sampe minggu mending pale apk belah,negatif
2,prib sii bagus fitur bagus macem macem inves dri rksdan sham tpi jdi tari nunggu butuh dana darurat trus tarik nunggu harap team baik fast mohon erti team bikin nyaman,negatif
4,rekomen simpen uang,negatif
1,proses nyaa beli jual saham cair rekening,negatif
5,good job,positif
5,vxmhyhd,negatif
5,nabung keren masuk kode refferal bibitsatujuta tanda petik dapetin cashback juta langsung rdn,positif
3,mohon baik sistem rdn wallet nilai portofolio riwayat transaksi deposit rdn wallet nilai portofolio tulis beda selisih lumayan pakai bln nilai tpi percaya nyaman kurang mohon kerjasamanya,netral
5,geme bagus,positif
5,nabung baik sejauhhh gaji jdi lbh yng bsa simpan tnpa biaya admin,negatif
1,ambil dana udah kirim kirim kacau sih,negatif
5,bagus,positif
3,bagus inves jangka bank daftar bca alangkah baik tambah bank mandiri bri lai kampung bank bri,netral
5,recomended,positif
1,proses masuk narik uang banget jdi sih aman kendala cuman,negatif
1,susah banget buka apk bibit udh bagus sinyal kuota pakai wifi kenceng sinyal tetep buka,negatif
5,the best app ever,positif
1,fungsi foto ktp dah,negatif
3,mantap,positif
1,registrasi bank jago susah guna,negatif
4,rekomedit mula,positif
5,keren,positif
5,nyari nabung mending deh pngalaman riset sampe email kluar gak masuk data ilang donk uang aplkasi ikut alhamdulillah gercep bgt bantu sampe kellmbalinya uang gak kaya apklisi lai respon sampe skrng data poko trimakasih,negatif
1,tarik uang jago bank udah hubung akun historis tanggal juni selesai gilir cek akun bank tanggal juni masuk,negatif
5,cari nafkah,negatif
4,emas,netral
1,proses jual cair dana,negatif
5,semangat mantap cepat respon cair dikit semangat emang mantap dana masuk rekening sesuai jadwal,negatif
2,notif jual wallet rdn,negatif
1,jual reksadana,negatif
1,bobrok ngerestar buka apk ganti sandi new email untung naro makan iklan uninstall dahh,negatif
5,bagus,positif
1,belibet nunggu hasil nihil,negatif
1,rusak kadang ngestuck loading,negatif
1,zero hospitality how treat boomer with good way such high difficulty isn,negatif
5,bagus,positif
5,mantap syariah,netral
5,coba mudah rejeki amin amin,positif
5,bagus mula,positif
1,apk aneh revisi bank mulu,negatif
5,instrumen nabung oke bgt proses mudah pilih nabung saham reksadana pasar uang obligasi mudah lik mudah paham thankyou,positif
2,mudah rdn brbagai bank,netral
5,bantu berinvetasi,positif
5,bantu terima kasi,positif
5,moga tingkat biar kecewa mantap,positif
5,baik,positif
5,juni golong plus mohon saran,netral
5,semangat mantap cepat respon cair dikit semangat emang mantap,positif
5,good,positif
5,mantap,positif
2,upgrade plus susah maret sampe konfirmasi,negatif
5,mantap,positif
5,bagus,positif
5,keren,positif
5,top,positif
2,buka,negatif
5,tambah fitur akun hapus akun permanen,netral
5,layan,positif
5,baguss banget,positif
1,nyesal nanam saham pakai beli saham pgeo udah bln turun trus harga minyak rakyat tengki pertamina tengki minyak swasta saham turun mending pakai ethis aman hitung slalu,negatif
1,dibukak,negatif
5,bagus,positif
4,buset bug,negatif
1,lot,negatif
5,moga depan,positif
5,bantu tabung reksadana beli obligasi saham pake kode reveral bibitcas ribu rupiah,positif
5,pake referral saldo copas sahamdarisekarang,positif
1,dapat bulan brp tri kdrn,netral
5,bagus,positif
3,mesti bank jago,netral
3,lelet pas buka,negatif
5,sukses aminnn,positif
2,sdh kepincut tawar sukuk obligasi bln skrg atur hny rdn wallet jago kenan aktivasi top dipake beli reksadana obligasi gagal mulu ngeklik bayar bibit sll ngeblank saldo jago ngendon edit thx responnya trnyt sbn dar hny rdn wallet sdh akses terang koneksi tdk stabil knp,negatif
5,cocok mula saran,positif
5,pake dah suka fitur sip sistem auto debit rutin invest mudah,positif
5,manfaat mula ajar,positif
1,cair lamaaa banget pake bank jago top bener ribet banget kapok banget pake temen pakai karna bilang pencairanlama terimakasih moga depan baik,negatif
5,bagus keren,positif
5,bagus,positif
4,sbn gak update otomatis,negatif
1,gak masuk alas jaring eror gak sampe logo doang,negatif
5,bagus,positif
2,bintang kena biaya materai pajak reksadana objek kena pajak apa,negatif
5,suka fitur mudah cerna kasih bintang,positif
5,bagus ajaib,negatif
1,kecewa uang jual beli langsung instan paksa tunggu butuh dana dadak tari nyesel pake,negatif
3,kasih bintang aman masuk nomor rekening,netral
3,plis kasih akses pake banking jago min jago trouble malas invest,netral
5,tarik,negatif
1,cair kecewa,negatif
5,good,positif
5,bagus masalah langsung tindak lanjut ribet pecah terimakasih,negatif
4,nglakuin hindar biyaya admin tou makek bank jago isi bank jago jga adminnya,negatif
1,download apk gabisa ugrade sampe upload data tetep awas data pake sembrono,negatif
5,bantu investasi tua anak sekolah,positif
5,mudah tabung jgn lupa pake kode referal xicojc,positif
4,mantap,positif
5,mudah,positif
1,gimana sih data gak akurat banget asa kemarin harga rdpu rugi sial,negatif
3,verifikasi cepat min nunggu,netral
3,bagus dalam sampe tau nama gadis kandung ktp nama serah rekening aman krisis kaya aman ragu data,netral
5,unggul,positif
5,stockbit,netral
5,mantapp,positif
5,good,positif
1,bikin ribet perivikasinya sekolah ken nabung susah mudah,negatif
1,butuh verifikasi plus butuh kisar jam telah selesai,negatif
4,mudah mula,positif
5,bagus nabung cobain deh saldo tambah,positif
5,mantap,positif
3,min gak buka mentok logo bibit mohon solusi,netral
5,cocok mula mudah,positif
2,verifikasi daftar bilang jam maksimal sdh selesai abal,negatif
5,bagus,positif
5,bagus banget,positif
5,pakai cuman udah bagus,netral
5,mantap,positif
1,selamat tinggal paham hapus akun,negatif
5,dapat cashback reksa dana masuk kode referral daftar pejuangrupia,positif
5,terima pakai semu aman,positif
1,bener upgrade plus beli produk invst sat set,negatif
5,alhamdulillah,positif
5,guna,positif
5,bagus banget fitur fitur lengkap ringan pakai,positif
5,mantap,positif
5,good,positif
5,kali pakai hasil alhamdulillah emang mula capai bagus sih pokok oke deh approve hehe bantu,positif
5,inves harga,netral
5,keren,positif
5,keren,positif
2,nyoba klo juoss tmbh bintang,netral
5,semangat tabung,positif
2,ribet kaya skrng invest pke bca pke rdn jago sulit,negatif
5,coba mudah amanah,positif
5,kereen,positif
4,bagus fungsi aplikasi eror loading,negatif
5,bagus,positif
5,mudah investasi sesuai profil investor,positif
5,baik ajar,positif
2,tunggu bukti milik sbn invest tanggal sesuai tera bibit luamaaaaa,netral
5,coba apk legal unggul produk reksadana suka ramah fast respon apk legal jenis fitur sayang imbang dgn pada,positif
5,bagus,positif
5,mantap,positif
3,suka akun,netral
5,bagus,positif
5,josss,positif
1,aman kali ganti password udah masukin password bener terus nik beli nggk buka plus pake bank jago akun stockbit recomended hati hati ges,negatif
1,apa konfirmasi akun sampe video call ribet biar coba gitu say goodbye dah langsung uninstal mending pake,negatif
1,gajelas,negatif
5,oke,positif
5,bagus,positif
5,puas mula ajar reksadana saham fitur mudah,positif
5,cocok banget mahasiswa ajar silah gabung,positif
5,baik sih tinggal tambah pilih invest emas app kalah,positif
5,bagus,positif
5,mudah mula kadang akses loading,netral
5,bantu,positif
5,ajar,positif
5,gampil gaptek,positif
1,ampas ngejual ajah banget nunggunya mending maen pluang langsung cair duit apa nyesel pake pdahal butuh dana desak banget proses buruh asyu,negatif
5,very nice,positif
5,sip terima kasih baik bug,netral
4,moga amanat,positif
1,nambah bank cair dana syarat ribet sat set kayak ber tele tele verfikasi wajah ulang ulang hasil tele tele,negatif
5,mantap,positif
5,mantap,positif
5,kendala bingung sistem untung bantu hubung langsung cepat ragu bintang,netral
5,bagus reksadana obligasi,positif
5,bagus,positif
5,tambah fitur hapus akun permanen,negatif
5,oke banget,positif
5,keren puas,positif
5,coba,netral
5,terimakasih,positif
5,yukk kaum muda daftar lupa pake kode referral bibitjadiduiit dapatin cashback rbu lindung terimakasih,positif
1,ribet cair bnget minggu tunggu blm doang lancar bebrapa kali pakai kmrin tari laporam selesai uang minggu,negatif
5,bagus mula,positif
1,klo cari dana udah sampe dana uang masuk rekening bank parah,negatif
4,stlah update susah buka,negatif
5,mantap,positif
5,percaya recommended mula,positif
1,reff aksesbibit,positif
5,bagus berimvestasi,positif
1,cairin dana ribet,negatif
5,susah proses jual ganggu,negatif
5,keren,positif
5,suka impi capai masya allah tabarakallah,positif
1,masuk uang obligasi tarik gak masuk uang bank,negatif
5,mudah akses,positif
5,bagus hasil kumpul uang meni nabung,positif
1,upgrade plus tunggu hari nyesal download,negatif
5,adminnya ramah bintang,positif
4,lumayan tari uang lambat,negatif
5,bagus,positif
5,istimewa,positif
