score,content,content_bersih
5,"cocok buat pemula yang ingin invest reksadana, gak sulit karena mudah dipahami. Semoga kedepannya bisa fleksibel dan stabil saat digunakan.",cocok invest reksadana sulit mudah paham moga fleksibel stabil
5,Ok,
5,Bagi yg baru bisa pake refferal ini : joddiearda,pake refferal joddiearda
2,"Katanya reksadana yang ada gambar kilat nya kalo di cairin instan tapi nyatanya -+5 hari baru cair, kalo gitu itu namanya ga instan, mohon di benerin lagi udah make bertahun"" Malah gini.",reksadana gambar kilat cairin instan nyata cair gitu nama instan mohon benerin make gin
5,BAGUS & PERTAHANANLAH.,bagus tahan
5,bibit sangat membantu,bantu
4,let's try,let s try
5,bagus,bagus
5,membantu,bantu
5,the best,the best
1,CAIRIN JAM 3 SUBUH MASA BELUM MASUK JUGA UANG SAYA KE REKENING SAYA. SUDAH 1X24 JAM INI LEBIH MALAH GIMANA SIH!!!!! UANG SAYA BALIKIN.,cairin jam subuh masuk uang rekening x jam gimana uang balikin
5,aplikasi sangat baik untuk menabung,tabung
5,1decbod,decbod
5,terpercaya,percaya
1,Saya baru menggunakan aplikasi ini tetapi pas saya mau menggunakan grafiknya sangat sulit untuk menggunakan aplikasi ini jadi sekitar depositnya lebih dari 100 sekali bermain jadi aplikasi ini sangat tidak bagus lagi,pas grafik sulit deposit main bagus
5,"Akhirnya setelah sekian lama saya sering melakukan update pada aplikasi Bibit, saya bisa mengaktivasi Rekening Dana Nasabah (RDN) dari bank Jago yang sebelumnya belum bisa diaktivasi melalui Bibit dan yang terpenting adalah terdapat fitur Auto SIP sehingga saya bisa melakukan pemesanan Reksa Dana secara otomatis sesuai dengan jadwal yang telah ditentukan sebelumnya dan mudah-mudahan aplikasi bisa bermanfaat bagi semua orang di masa mendatang",sekian laku update mengaktivasi rekening dana nasabah rdn bank jago diaktivasi fitur auto sip laku mesan reksa dana otomatis sesuai jadwal mudah mudah manfaat orang
5,ok,
5,good,good
5,mantap aplikasi ini,mantap
5,"Mudah di pahami, dan sangat recomendasi buat pemula utk berinvestasi saham dan beli raksadana.",mudah paham recomendasi utk investasi saham beli raksadana
5,puas,puas
5,Bantu pakai Kode saya yaa waktu daftar pertama : bdpfvnd,bantu pakai kode yaa daftar bdpfvnd
5,oke,
5,"Kumplit sih dan akrg baru tau ada intrumen jual beli saham, ... Tinggal adain instrumen nabung emas",kumplit akrg tau intrumen jual beli saham tinggal adain instrumen nabung emas
5,"Pertahankan kualitas, dan selalu meningkatkan atau memperkuat keamanan demi melindungi dan menjaga data keamanan konsumen",tahan kualitas tingkat kuat aman lindung jaga data aman konsumen
5,"Saya beri bintang 5, kalau boleh tolong tambahin menu pembayaran pake QRIS dong min biar simple ga perlu ngetik2 nomor VA pas mau beli reksadana wkwkwk",bintang tambahin menu bayar pake qris biar simple ngetik nomor va pas beli reksadana wkwkwk
4,sangat membantu..dalam berinvestasi,bantu investasi
5,bagus sekali,bagus
5,"UI friendly, CS fast respond,",ui friendly cs fast respond
3,"Susah banget tambah rekening bank, udah coba berkali kali tetap aja ga bisa",susah rekening bank coba kali kali
5,Saya mau nyoba modal 10.000 ehh malah jadi 1 jt makasih banget pokoknyaðŸ™ðŸ™,nyoba modal ehh jt pokok
5,Transaksi cepat dan mudah,transaksi cepat mudah
5,sangat bermanfaat,manfaat
5,peraktis,peraktis
1,Proses jual saham sampe masuk ke rekening nya lama banget. Jadi trauma ðŸ¤¦â€â™€ï¸,proses jual saham sampe masuk rekening trauma
5,sangat membantu,bantu
5,bagi beta versi nya dong,beta versi
5,"dari segi aplikasi sangat baik, keuntungan yang diberikan juga lumayan, aku pribadi belum berani main saham, cukup main di obligasi dan pasar modal, tujuan utama nabung di bibit sebenarnya menghindari bunga bank dan keinginan buat beli barang barang, kalau di bibit jadinya aman gak bakalan ke pakek, bonusnya duitnya nambah, umr jogja pun tetap bisa investasi",segi untung lumayan pribadi berani main saham main obligasi pasar modal tuju utama nabung hindar bunga bank beli barang barang aman pakek bonus duit nambah umr jogja investasi
5,"bagus sejauh ini , bisa belajar untuk invest",bagus ajar invest
5,"Sangat cocok untuk pemula, fitur & tampilan yang sangat oke. Lebih bagus lagi kalo ditambah lagi untuk produk Reksadana nya biar lebih fleksibel lagi dalam memilih produk reksadana, supaya lebih simpel di satu aplikasi",cocok fitur tampil bagus produk reksadana biar fleksibel pilih produk reksadana simpel
5,tempat nabung yang kerenðŸ˜ŠðŸ‘,nabung keren
5,Aplikasi bagus untuk investasi saham dan lain-lainnya,bagus investasi saham
5,grafik nya yg warna hijau jangan tebal,grafik warna hijau tebal
5,untuk saat ini mudah dipahami fiturÂ²nya untuk pemula . cs nya juga ramah .,mudah paham fitur cs ramah
5,"Tambahanin fitur nabung di emas dong, masa kalah sama sebelah",tambahanin fitur nabung emas kalah belah
5,bagus,bagus
1,kode ny ga di dikirim kirim ke wa jadi males gimana ni,kode ny kirim kirim wa males gimana ni
1,pencarian resadana obligasi saya tidak masuk rekening,cari resadana obligasi masuk rekening
5,bikin semangat nabung :)),bikin semangat nabung
4,mantap,mantap
5,Mantappppp..... ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘,mantappppp
5,mantap,mantap
1,Kak kok saya gak bisa login parah nih verifikasi Gmail gak bisa tolong bantuannya,kak login parah nih verifikasi gmail bantu
5,"Aplikasi yang bagus, sejauh ini tidak ada masalah selama pemakaian aplikasi",bagus pakai
5,cuan,cuan
4,Mudah di mengerti,mudah erti
5,saya suka,suka
5,Dapat pencerahan terus +++,cerah
5,investasi ditangani anda,investasi tangan
5,terbaik,
5,Best Saving Money,best saving money
5,bagus,bagus
4,"Halo kak saya mau mengajukan kendala, saya ingin mengganti rekening rdn dari jago ke bni tidak bisa ya kak mohon bantuanny kk",halo kak aju kendala ganti rekening rdn jago bni kak mohon bantuanny kk
5,TERBAIK,
5,"mau dapetin cashback senilai 25 rbu rupiah??? pakai code ini aja (afnila1)ðŸ˜‰ Ayo daftar dan gunakan code cantik ini yah ðŸ˜š Aplikasi yang bagus banged dan sangat sangat recommended buat pemula ber investasi,resiko nya juga sangat minim sekali kita juga bisa berinvestasi mulai dari 10 rbu rupiah, Aku udh ngerasain nya sendiri,aku udah ikut sekitar beberapa bulan udh dapat uang jutaan rupiah dg ikut ReksadanaðŸ˜‹",dapetin cashback nila rbu rupiah pakai code afnila ayo daftar code cantik yah bagus banged recommended ber investasi resiko minim investasi rbu rupiah ngerasain uang juta rupiah dg reksadana
5,"mudah pemakaian nya, tambahkan info info saham dan berita terkait. fitur pnghitung harga wajar saham.",mudah pakai info info saham berita kait fitur pnghitung harga wajar saham
5,bagus,bagus
5,sgat membantu untuk masa depanku,sgat bantu
5,bagus untuk berinvestasi dan ada penjelasannya,bagus investasi
5,"Percaya deh, pokoknya tidak akan menyesal invest di BIBIT! Tempat berinvestasi yang aman dan sangat mudah dipahami. Apalagi dengan kondisi seperti sekarang ini, lebih baik banyakin investasi dulu. Anggap nabung dan dapat untung. Penambahan keuntungannya juga cepat. Yang mau daftar jangan lupa pakai kode referral: bibitsukseskita . Supaya kamu dapat cashback :)",percaya pokok sesal invest investasi aman mudah paham kondisi banyakin investasi anggap nabung untung untung cepat daftar lupa pakai kode referral bibitsukseskita cashback
5,"mudah di pelajari,fitur bagus, aman dan mempermudahkan untuk investasi di bibit",mudah ajar fitur bagus aman mudah investasi
5,okee,okee
5,ok,
4,bagus,bagus
5,Masih dalam tahap mempelajari. Tapi sepertinya ini aplikasi yang bagus untuk pemula.,tahap ajar bagus
5,bagus dan terpecaya,bagus terpecaya
5,aplikasi bagus,bagus
3,baru cobaÂ² masih ada rasa takut nabung,coba takut nabung
5,mudah dipelajari bagi pemula,mudah ajar
5,mantapp,mantapp
5,Aplikasi yang bagus utk investor pemula,bagus utk investor
5,terbalik,
5,Ui dan kemudahan informasi serta transaksi nya yang mudah untuk yang awam mengenai investasi,ui mudah informasi transaksi mudah awam kena investasi
5,untuk beberapa bulan ini masih bagus,bagus
1,APLIKASI SAYA DI RETAS ORANG,retas orang
5,mantap,mantap
5,lumayan,lumayan
5,Bagus ðŸ‘Œ,bagus
5,"recommend bgt buat jaminan masa tua kelak.. semoga tetap amanah,, ðŸ¤²ðŸ¤²ðŸ‘",recommend jamin tua kelak moga amanah
5,sangat baguss,baguss
5,terbaik dan mudah dipahami,mudah paham
5,"nice aplikasi buat invest,,ðŸ‘",nice invest
1,jangan pernah invest di bibit. saya invest 2 tahun modal gk balik semua....saat saya jual reksadana melebihi modal yg sya investkan tapi masuk ke rekening saya jauh betkurang di karenakan terlalu banyak potongan administrasi. sangat amat menyesal saya berinvestasi di aplikasi sampah ini. buat kalian yg mau invest ke bibit gk usah ragu atau pikir2 lagi. JANGAN DI LANJUTKAN kalau tidak mau uang kalian berkurang banyak,invest invest modal jual reksadana modal sya investkan masuk rekening betkurang potong administrasi sesal investasi sampah invest ragu pikir uang
1,Pembayaran saya 4 hari belum selesai gmna ini?,bayar selesai gmna
5,semoga baik,moga
5,the best,the best
2,"Mau hubungkan akun ke bank jago ,malah diarahkan ke pembuatan rekening baru",hubung akun bank jago arah rekening
2,cairin nya lama bangetttttt saya butuh duitnya karena darurat!,cairin bangetttttt butuh duit darurat
5,recommended,recommended
5,good,good
5,Mantab,mantab
5,"Bagus, saya nabung di sini, tapi bisa gak metode pembayaran nya yg bank mandiri jadiin ""Gratis biaya pembayaran"" aja? Biar makin rajin nabung",bagus nabung metode bayar bank mandiri jadiin gratis biaya bayar biar rajin nabung
5,bagus,bagus
5,aplikasi yg sangat bagus untuk berinvestasi,bagus investasi
2,Saya harap bibit plus bisa RDN syariah,harap plus rdn syariah
5,Oke banget,
5,sangat bagus,bagus
5,bibit sangat memudahkan untuk saya dalam menabung,mudah tabung
1,Pencairan investnya lamaðŸ‘Ž Jangan ya dek ya..jangan,cair investnya dek
1,"Sangat tidak membantu dalam proses pencairan dana kerekening dan ribet beda dengan aplikasi pintu memiliki akses stabil, menguntungkan serta pencairan dana cepat tidak menunggu 3 sampai 7 hari kerja, maaf saya kasih bintang 1.",bantu proses cair dana rekening ribet beda pintu milik akses stabil untung cair dana cepat tunggu kerja maaf bintang
5,"Terbaik sih Bibit, Pelayananya The best",pelayananya the best
5,the best,the best
5,Bibit aplikasi yg baik,
5,"Bagus banget buat bangun habit nabung. Yuk pake kode ""bibituntukinvestasi"" buat dapetin cashback 25k semangatt!!",bagus bangun habit nabung yuk pake kode bibituntukinvestasi dapetin cashback k semangatt
3,"Knpa ketika mau bli sbn harus BUAT bank jago sihh, pdahal udh ada rdn BCA yg d atockbit",knpa bli sbn bank jago sihh pdahal rdn bca d atockbit
5,Masi pemula belum begitu paham,mas paham
5,bagus,bagus
1,Jual beli sangat lambat,jual beli lambat
5,"aku udah pake bibit setahun, aplikasi bagus, user friendly. pake profile resiko 8. ampun dah fluktuatif banget. naruh 30jt gak dapet2 return nya wkwk. 1 nya buka deposito di n*o 30jt 1thn dapet imbal 2,2jt. mayan cuy buat ngopi sebulan ðŸ¤£",pake bagus user friendly pake profile resiko ampun fluktuatif naruh jt dapet return wkwk buka deposito n o jt thn dapet imbal jt mayan cuy ngopi
5,Yang saya sukai dari aplikasi ini. Chat support nya gercep bgt. Jadi kalo ada pertanyaan atau Kendala bisa di tanyakan langsung kapanpun.,suka chat support gercep kendala langsung
5,Mantappp,mantappp
5,Alhamdulillah sangat membantu u investor pemula.,alhamdulillah bantu u investor
5,bagus aplikasi buat yang suka menabung,bagus suka tabung
1,Cairnya lama banget anjirrrr . Dahlah paling bener nabung di tabungan non onlinee,cair anjirrrr bener nabung tabung non onlinee
2,"Saya kasih bintang dua dulu, karena ketika saya melakukan upgrade ke bibit plus saya tidak sengaja memencet RDN bank jago padahal saya ingin menggunakan BCA, lalu tidak bisa di kembalikan ke ke tahap sebelumnya yaitu pemilihan RDN, mungkin ini bisa di perbaiki oleh bibit",bintang laku upgrade plus sengaja pencet rdn bank jago bca tahap pilih rdn
1,Nyesel saya invest di rd app ini. 3 tahun boncos terus setelah saya masukkan dana besar. Saat dananya masih kecil padahal naik terus. Emang gitu ya mainnya kalian? Wah nyesel banget saya demi Tuhan,nyesel invest rd app boncos masuk dana dana emang gitu main nyesel tuhan
5,oke,
5,sumpah pelayanannya the best tdinya ada kesalahan nama gw ga sesuai ktp gw ada typo lah alhasil gw lgsg chat adminnya dan kalian tau apa??pelayanannya cepet bgt woyy lgsg di arahin ini itu sm adminnya smpe fix nama gw sesuai ktp gw beuhh mantep bibit,sumpah layan the best tdinya salah nama gw sesuai ktp gw typo alhasil gw lgsg chat adminnya tau layan cepet woyy lgsg arahin sm adminnya smpe fix nama gw sesuai ktp gw beuhh mantep
5,"Pakai bibit, uang puluhan juta disimpan buat nabung di reksadana. Trus uang ditarik. Aman dan sangat rekomendasi untuk nabung. Keren bibit. ðŸ˜‡",pakai uang puluh juta simpan nabung reksadana trus uang tarik aman rekomendasi nabung keren
5,Mantapppp,mantapppp
5,Saya lebih suka bibit dibanding stockbit. Karena tidak terlalu ramai notifikasi.,suka banding stockbit ramai notifikasi
5,"Simpel mudah ringan rekening bisa pakai bank jago fix jago bibit Investasi ini ðŸ‘keren aman dan terpercaya bisa jangka waktu bulanan dan bisa untuk pemula mulai dari Rp 10.000,00 dan yang paling penting gratis biaya jual beli Reksadana (rp0)ðŸ‘ðŸ‘ðŸ‘",simpel mudah ringan rekening pakai bank jago fix jago investasi keren aman percaya jangka rp gratis biaya jual beli reksadana rp
5,Mantap,mantap
5,aplikasi investasi terbaik dan ter worth it,investasi ter worth it
5,good,good
5,"Pakai kode ""investasievy"" untuk dapat cashback Rp.25.000 di awal pendaftaran aplikasi. Aplikasi simple, aman dan mudah dimengerti untuk pemula.",pakai kode investasievy cashback rp daftar simple aman mudah erti
1,Terlalu lama untuk pencairanya,pencairanya
5,nice,nice
5,Sangat membantu untuk menabung rutin. Banyak fitur yang memudahkan yang cocok dengan metode menabung saya.,bantu tabung rutin fitur mudah cocok metode tabung
5,Bagus banget,bagus
1,Untuk kelas ygvtahu aja,kelas ygvtahu
5,wow,wow
5,Ada autodebit lewat ovo dong bibit,autodebit ovo
5,Ok banget untuk pemula,
2,Untuk upgrade bibit plus harus RDN jago biasa Bukan jago syariah Sudah terlanjur pake jago syariah dan gak bisa balik lg jadi jago biasa Mohon untuk d perbaiki,upgrade plus rdn jago jago syariah lanjur pake jago syariah jago mohon d
5,"Bagus Semoga ada tambahan pilihan obligasi fr yg lain Apalagi yg kupon nya diatas 7,5% Auto buy",bagus moga pilih obligasi fr kupon auto buy
5,ok,
5,Apa saya bisa jadi milyader,milyader
5,sangat bagus,bagus
5,Segera daftar Bibit sekarang juga,daftar
5,Bagusss semoga semakin berkembang dan memberi banyak manfaat bagi semua orang,bagusss moga kembang manfaat orang
3,Pencairan ke RDN LAMA BANGET BUTUH 3 HARI,cair rdn butuh
5,Semoga bisa lebih maju,moga maju
5,sangat membantu untuk memulai investasi,bantu investasi
5,investasi lumayan,investasi lumayan
5,baik,
5,bagus,bagus
5,"pakai reff ""jeef23"" saling membantuðŸ«¶",pakai reff jeef bantu
1,"Sudah pernah daftar dan punya akun namun handphone hilang hingga semua kontak dan akun juga ilang ,,sekali mau daftar lagi gak bisa delete akun yg lama,terkesan di bibit ditanggapi namun tidak di proses",daftar akun handphone hilang kontak akun ilang daftar delete akun kes tanggap proses
1,Ini admin yang ngurus kyc ketarak apa gimana nih padahal baru kemarin gw bikin ktp,admin ngurus kyc tarak gimana nih kemarin gw bikin ktp
5,Ok mantap,mantap
5,keren,keren
5,Sanget bagus,sanget bagus
5,goodddd,goodddd
1,"Sangat kecewa dari lama nabung, mau di ambil di aplikasi bibit order jual sudah berhasil tp uang nya engga masuk ke rekening saya",kecewa nabung ambil order jual hasil uang engga masuk rekening
1,"saya baru mau coba bibit dan udah download, tapi baru buka apk malah cuma mentok dilogo bibitðŸ˜µâ€ðŸ’« udh hapus dan download lagi tapi sama aja zonk",coba download buka mentok logo hapus download zonk
5,sangat bermanfaat.. makin mudah menggunakan aplikasi terbaik bibit,manfaat mudah
5,keren,keren
3,mau uji coba dulu..,uji coba
1,Verifikasi lama sekali,verifikasi
1,aplikasi investasi paling jelek,investasi jelek
1,Aneh ga bisa di buka apk nya. Padahal udh deposit,aneh buka deposit
5,Alhamdulillah,alhamdulillah
5,Sangat berguna,
5,Alhamdulillah saya sudah pakai bibit ini untuk menabung dan investasi buat masa depan saya aplikasi mudah di pahami juga buat kebanyakan orang,alhamdulillah pakai tabung investasi mudah paham orang
4,bagus,bagus
5,pemula yg berusaha mencari keuntungan kecil ja,usaha cari untung ja
5,aplikasi investasi yang sangat mudah dan friendly user,investasi mudah friendly user
5,Apik,apik
5,semoga tambah baik kedepannya,moga
5,tampilan kereen,tampil kereen
5,baik sekali,
5,Semoga kedepannya bisa pakai RDN Jago Syariah,moga pakai rdn jago syariah
4,"Terdapat bug UI pada device Redmi Note 12, HyperOS, tolong update ui aplikasi",bug ui device redmi note hyperos update ui
5,Terima kasih apk bibit truss investasi.. Biar pun aku belum coba untuk investasi tapi saya sedikit paham,truss investasi biar coba investasi paham
1,"Semakin kesini semakin tidak bisa dengan mudah diakses aplikasi bibit, setiap buka aplikasi bibit pasti error cek koneksi, padahal jaringan super lancar, wifi dan provider buat streaming lancar, bintang 1 buat developer bibit",kesini mudah akses buka error cek koneksi jaring super lancar wifi provider streaming lancar bintang developer
5,registrasi mudah.. moga bisa berkembang investasi saya disini,registrasi mudah moga kembang investasi
3,"Ada beberapa Bank Kustodian yg agak sedikit lambat dalam pengiriman dana ke rekening penampung.Untuk aplikasi bagus, mudah dipahami",bank kustodian lambat kirim dana rekening tampung bagus mudah paham
5,"selagi gk ada penipuan, ini sangat rekomendasi",tipu rekomendasi
4,dlu ada semacam feature return pndapatan perbulan di performa portfolio nmun skarng dhilangkan jd pforma keseluruhan total.... tlong feature itu jgn ditiadakan agar tau return kami sbulan dpt brp,dlu feature return pndapatan performa portfolio nmun skarng dhilangkan jd pforma total tlong feature jgn tiada tau return sbulan dpt brp
5,oke,
5,"Aplikasi yg sangat membantu dalam investasi saham, pemula seperti saya sangat terbantu sekali dengan aplikasi ini. CS bibit jg sangat fast respon dan informatif.",bantu investasi saham bantu cs jg fast respon informatif
5,investasi dibibit sangat bagus . ada video edukasi juga . jadi enak dan tahu untuk mengambil investasi apa yang sesui kebutuhan .,investasi bagus video edukasi enak ambil investasi sesui butuh
